개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
3010000,CDFF4220002001000003,2001-12-24,,1,영업/정상,13,영업중,,,,,02-526-8983,,,서울특별시 중구 명동2가 83-5 Noon Square,"서울특별시 중구 명동길 14, Noon Square 8층 (명동2가)",4536,CGV 명동 4관,2025-04-29 14:01,U,01:00.0,,198418.7417,451237.1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002001000002,2001-12-24,,1,영업/정상,13,영업중,,,,,02-526-8983,,,서울특별시 중구 명동2가 83-5 Noon Square,"서울특별시 중구 명동길 14, Noon Square 8층 (명동2가)",4536,CGV 명동 3관,2025-04-29 14:01,U,01:00.0,,198418.7417,451237.1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000001,2005-03-21,,1,영업/정상,13,영업중,,,,,02-2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 샤롯데관,2025-07-21 14:58,U,03:00.0,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002006000003,2006-04-06,,1,영업/정상,13,영업중,,,,,,,100-861,서울특별시 중구 충무로2가 65-9번지 ,서울특별시 중구 퇴계로 123  (충무로2가),,인사이드시네마,2006-04-06 13:26,I,59:59.0,,198636.2504,451005.7216,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20060406,
3010000,CDFF4220002022000001,2022-03-23,,1,영업/정상,13,영업중,,,,,02-741-9782,,,서울특별시 중구 정동 22 경향신문사 ,"서울특별시 중구 정동길 3, 경향신문사 2층 (정동)",4518,서울아트시네마,2022-04-21 16:38,U,40:00.0,,197279.3284,451765.4265,영화상영관,,0,,,0,0,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20220323,
3010000,CDFF4220002003000002,2003-05-20,,1,영업/정상,13,영업중,,,,,2236-2024,,100-856,서울특별시 중구 장충동2가 201-6번지 ,서울특별시 중구 장충단로 72 (장충동2가),,씨너스 이오이(EOE)4 남산자동차극장,2015-02-06 10:44,I,59:59.0,,200154.6929,449919.6278,영화상영관,영화상영관,1,,,0,1,0,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20030520,상업지역
3010000,CDFF4220002005000002,2005-03-21,,1,영업/정상,13,영업중,,,,,02-2118-5443,,,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533,롯데시네마 에비뉴엘 <2관>,2025-07-21 15:03,U,03:00.0,,198333.4709,451313.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000012,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제11관),2025-07-18 17:44,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002006000005,2006-04-06,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),,CGV 명동역 씨네라이브러리 4관,2025-04-23 17:44,U,05:00.0,,198636.2504,451005.7216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002006000006,2006-04-06,,1,영업/정상,13,영업중,,,,,2079-0301,,,서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),,CGV명동역 씨네라이브러리 ART 1관,2025-04-23 17:41,U,05:00.0,,198636.2504,451005.7216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002006000008,2006-04-06,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),,CGV 명동역 씨네라이브러리 5관,2025-04-23 17:45,U,05:00.0,,198636.2504,451005.7216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000013,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제10관),2025-07-18 17:43,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000014,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제8관),2025-07-18 17:40,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000015,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제1관),2025-07-18 17:15,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000016,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제6관),2025-07-18 17:30,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230000,CDFF4220002014000017,2014-10-14,,1,영업/정상,13,영업중,,,,,02-3470-3493,,,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551,롯데시네마 월드타워(제5관),2025-07-18 17:29,U,00:00.0,,209074.9008,445657.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002005000008,2005-12-22,,1,영업/정상,13,영업중,,,,,,,100-011,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,"서울특별시 중구 명동8나길 15  (충무로1가,캣츠빌딩)",,씨큐엔(CQN)명동1관,2005-12-22 13:28,I,59:59.0,,198527.0993,450998.0734,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20051222,
3010000,CDFF4220002001000001,2001-12-24,,1,영업/정상,13,영업중,,,,,02-526-8983,,,서울특별시 중구 명동2가 83-5 Noon Square,"서울특별시 중구 명동길 14, Noon Square 8층 (명동2가)",4536,CGV 명동 2관,2025-04-29 14:01,U,01:00.0,,198418.7417,451237.1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,CDFF4220002003000003,2003-05-20,,1,영업/정상,13,영업중,,,,,2277-4151,,100-300,서울특별시 중구 초동 41번지 ,,,스카라극장,2003-05-20 18:33,I,59:59.0,,,,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030520,
3010000,CDFF4220002003000001,2003-05-20,,1,영업/정상,13,영업중,,,,,,,100-862,서울특별시 중구 충무로4가 131-6번지 ,서울특별시 중구 퇴계로 211-5  (충무로4가),,극동극장,2003-05-20 18:12,I,59:59.0,,,,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030520,
3010000,CDFF4220002005000009,2005-12-22,,1,영업/정상,13,영업중,,,,,,,100-011,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,"서울특별시 중구 명동8나길 15  (충무로1가,캣츠빌딩)",,씨큐엔(CQN)명동2관,2005-12-22 13:21,I,59:59.0,,198527.0993,450998.0734,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20051222,
